Public?,Name,Category,AI Summary,AI LikedIn Post,Created,Last edited
Yes,The Keeper Test,Leadership,"Use the Keeper Test to evaluate how important each person on your team is to the team's success. By asking yourself if you would fight to keep each team member, you can identify areas where improvement is needed and make strategic decisions about personnel. However, this test is subjective and should be used with caution to avoid creating a culture of fear or bias.","🚨 Are you struggling to evaluate how good your team really is? Introducing the Keeper Test - a simple way to stay honest with yourself when it comes to your people. This test helps you answer the question: if this person were to hand in their notice tomorrow, how would you react?

In this article, we'll dive into the concept of the Keeper Test and explore how it can help you make tough decisions about your team. We'll also examine some of the potential pitfalls and provide further reading on the subject.

If you're interested in improving your management skills and building a stronger team, read on! Check out the article in the comments below. #Management #TeamBuilding #KeeperTest","April 3, 2023 11:17 AM","September 6, 2023 1:57 PM"
Yes,Feedback,Leadership,"This document provides insights and exercises on giving and receiving feedback. It emphasizes the importance of constructive feedback and the impact it can have on building a culture of openness and trust in remote teams. The document also offers practical tips on how to give and receive feedback, including choosing the right medium for delivery.","🚨 Giving and receiving feedback is an essential part of building healthy, high-performing teams. But in a remote environment, it can be even more challenging. That's why I put together a comprehensive guide to help you navigate this tricky terrain.

In this post, we cover everything from how to give feedback constructively to how to receive it gracefully. We even touch on choosing the right medium and the importance of micro-feedback in a remote setting.

If you're looking to improve your feedback skills (and who isn't?), this is a must-read. Check it out below 👇

[Link to the post]

#feedback #remotework #communication #teamwork #leadership","August 1, 2023 2:09 AM","September 6, 2023 1:57 PM"
Yes,Lean Documentation,Async Collaboration,"This document explains the importance of clear and concise documentation for asynchronous teams. It outlines three properties of good internal documentation and provides an example of a process for creating ""lean"" documentation that can be improved over time.","👋 Have you ever struggled to find the information you need to do your job? Whether you work in an office or remotely, it can be tough to get answers when the person you need isn't around. That's why documentation is so important, especially for asynchronous teams.

In this article, we'll explore the principles of lean documentation and how it can help your team work more effectively. We'll cover what good documentation looks like, why it's important, and how you can start creating your own lean documents today.

If you're tired of endless back-and-forth emails or trying to track down information, this article is for you. Check it out in the link below and start improving your team's documentation game!

[Link to the article]

#documentation #teamwork #async #lean #productivity","August 1, 2023 3:20 AM","September 6, 2023 1:57 PM"
Yes,A Working With Me Page,Async Collaboration,"This is a guide on how to create a ""working with me"" page to help your team get to know you better. It includes a list of things to include and the benefits of having such a page. You can use the Notion template provided to customize your own page and make it useful for your colleagues.","📣 Attention all professionals! Have you ever struggled to find the information you need to work with a colleague effectively? 🤔

Introducing the ""Working With Me"" page - a simple yet powerful tool to help your colleagues get to know you better.

By creating a page that outlines your contact details, work preferences, and personal interests, you can build stronger relationships with your team and make collaboration a breeze.

But that's not all! A ""Working With Me"" page can also:

👥 Help new team members get up to speed quickly
🔒 Encourage transparency and trust within your organization
💼 Serve as a reference for important information like personal emails and usernames

If you're interested in creating your own ""Working With Me"" page, check out this comprehensive guide with tips on what to include and why it matters. And if you already have a ""Working With Me"" page, share your experience in the comments below!

#Collaboration #Documentation #Notion","February 16, 2023 10:25 PM","September 6, 2023 1:56 PM"
Yes,Asynchronous Working,Async Collaboration,"This document outlines the benefits and key principles of asynchronous working, which is a deliberate design of working methods with a minimum of synchronous communication. It also provides examples of asynchronous communication tools and highlights the importance of documentation and over-sharing.","🚨 Attention all remote workers! Are you tired of constant interruptions and unproductive meetings? It's time to shift towards asynchronous working.

In this article, we explore the benefits of asynchronous communication and how to make it work for your team. From documenting everything to assuming good intent, these key principles will help your team work more efficiently and thoughtfully.

Check out the article below and start your journey towards a more productive and calm work environment.

#remote #remotework #asynchronousworking #productivity

https://www.notion.soinsert-link-here","June 1, 2023 2:19 AM","September 6, 2023 1:56 PM"
Yes,Writing Proposals,Async Collaboration,"This document provides guidance on writing effective proposals in an asynchronous work environment. Learn how to make small proposals that are simple yet effective, and how to structure proposals for more complex decisions. Mastering proposal writing is an essential skill for distributed teams.","Are you struggling to write effective proposals in your remote work environment? Look no further! This article provides practical tips and guidance on writing proposals that are clear, concise, and effective. Whether you're making a quick suggestion on Slack or proposing a new product feature, writing good proposals is a crucial skill for remote workers. This article covers everything from outlining the problem and proposed solution to anticipating objections and answering specific questions. Don't let the lack of face-to-face interaction hold you back from making great proposals. Check out this article and start writing better proposals today!

[Link to the article in the comments.]","May 31, 2023 6:32 PM","September 6, 2023 1:56 PM"
Yes,The Async Week,Async Collaboration,"This document outlines the concept of an Async Week, a useful tool for remote teams to build their asynchronous communication habits. The rules are simple: no meetings, except for certain exceptions, and encourage the use of DND in Slack. Afterwards, a survey can be conducted to assess how the week went and identify areas for improvement.","🚨 Break the ""meeting habit""! 🚨

Remote organizations need to be doing as much work as possible without video meetings. But how do you break the ""meeting habit""? 🤔

Enter the Async Week! 💻🌎

Holding an Async Week is a useful forcing function to help teams build their async communication habits. On a regular cadence - usually one week in every 6 - you cancel all recurring meetings, have as few external meetings as possible, and encourage folks to turn on DND in Slack as much as possible.

The result? Increased focus time, more reading and writing, and a lot less unnecessary meetings. 🙌

Check out this article for more information on how to run an Async Week and the benefits it can bring to your remote team. #AsyncWorking #RemoteWork

https://www.notion.soinsert-link-here","August 1, 2023 2:17 AM","September 6, 2023 1:56 PM"
Yes,Warning Orders,Async Collaboration,"Use warning orders to give people advance notice of upcoming changes or operations, even when the details aren't fully formed. This tool is useful in both military and business settings, allowing people to prepare and take action when necessary. A warning order should include a brief background, the change or options being considered, actions people need to take, and a timeline.","🚨 Have you heard of Warning Orders? Originally used in the military to give troops advance notice of operations, this concept can also be applied in a business setting to prepare teams for upcoming changes.

In this article, we explore the idea of Warning Orders and how they can be used to inform and prepare teams for upcoming changes. We'll delve into the components of a Warning Order and provide a made-up example to give you a better idea of how it can be used.

Check out the article here and let us know if you've ever used Warning Orders in your own organization!","August 25, 2023 5:44 PM","September 6, 2023 1:56 PM"
Yes,Making Decisions,Async Collaboration,"This document provides three principles to guide decision-making in distributed teams. Treat decisions as reversible by default, make decisions at the lowest level possible, and identify a decision owner early to save time and avoid back and forth. Use these principles to make better decisions and streamline the decision-making process.","🔥 Making decisions is an integral part of our everyday life, but it can get especially tricky when you're working in a distributed team. Waiting for consensus from people in multiple time zones can become a huge bottleneck in the decision-making process. However, by following some key principles, we can make this process much smoother and more efficient. Check out this article to learn about the three principles that can help you make better decisions in a distributed team! #management #meetings #documentation

https://www.notion.soinsert-link-here","May 31, 2023 6:51 PM","September 6, 2023 1:56 PM"
Yes,Formally Established Teams,Team Building,"This document provides guidelines on how to formally establish teams in a company, including defining what a team is, clarifying membership rules, creating a clear mission, selecting a team lead, and using a descriptive name. The document also offers a process for establishing a new team.","🚀 Want to make sure your company's teams are structured for success? Check out this comprehensive guide to formally establishing teams.

Most companies group people into teams, but too often there's confusion around what certain teams do and who is or isn't part of what team. To address this, it's important to define what a team is and have a process for formally establishing non-temporary groupings of people.

This guide provides a loose definition of a team that includes what most companies call teams, departments, squads, guilds, and functions. It also outlines the four things every team must have: clear membership rules, a clear mission, a team lead or coordinator, and a descriptive name used consistently.

If you're looking to establish a new team, this guide also provides a step-by-step process to follow.

Check it out and let me know your thoughts in the comments!

[Link to the guide]

#teamstructure #teambuilding #companyculture #leadership","March 30, 2023 12:24 AM","September 6, 2023 1:55 PM"
Yes,Building Relationships in Remote Teams,Team Building,"This document provides insights on building and maintaining strong relationships in remote teams, emphasizing the importance of trust, respect, self-awareness, inclusion, and open communication. It also presents practical tips and further reading resources for developing effective work relationships.","🚀 In today's remote work environment, building strong relationships with coworkers is more important than ever. Not only do good relationships increase productivity, but they also make work more enjoyable. After all, we spend one-third of our lives at work, so why not make the most of it?

In this article, we explore the importance of work relationships, what makes a good relationship, and who to build relationships with at work. We also dive into key concepts like openness, trust, emotional intelligence, and practical tips for building strong relationships in a remote setting.

If you're looking to develop your career, win new business, or focus on personal development, building good relationships is essential. Check out the article for more insights and let us know your thoughts in the comments below!

[Link to article in comments] #remotework #relationshipbuilding #productivity #emotionalintelligence","August 1, 2023 2:56 AM","September 6, 2023 1:55 PM"
Yes,Team Forming Workshops,Team Building,"Team Forming Workshops are a useful tool for establishing new teams in a remote environment. These workshops help team members understand each other's needs, establish team principles, and define a team vision and mission. This document outlines a suggested workshop format and activities to achieve these goals.","Are you forming a new team in a remote environment? Or are you looking to improve an existing team's performance? Check out this in-depth guide to running team forming workshops! This guide covers everything from establishing mutual understanding to defining team principles and operating practices. It even includes activities and exercises to help your team identify their needs and behaviors as individuals. If you're serious about building a high-functioning team, this guide is a must-read.

Link in the first comment.","June 1, 2023 2:06 PM","September 6, 2023 1:59 PM"
No,IRL Socialising for Remote Teams,Team Building,"This document provides guidance on how remote teams can socialize in-person to build camaraderie and strengthen relationships. It includes tips for organizing events and activities, as well as considerations for team dynamics and communication.",Are you tired of feeling disconnected from your remote team? Do you miss the casual conversations and social interactions that come with working in the same office? Our latest article dives into the importance of IRL socializing for remote teams and provides some creative ideas for bringing your team together outside of the virtual office. Check it out! #remotework #teamculture #socializing,"August 1, 2023 2:55 AM","September 6, 2023 1:55 PM"
Yes,Loom Pals,Team Building,"Loom Pals is a modern take on the classic pen pal concept, but instead of letters, you send short Loom videos to connect with friends and colleagues. Simply record a 2-5 minute video, ask some questions, and wait for their response. It's a great way to stay in touch when you don't have time for a synchronous call.","📣 Introducing Loom Pals! 📣

Remember pen pals? Sending handwritten letters to friends was a great way to stay connected, but in today's fast-paced world, it can be hard to find the time for synchronous calls. That's where Loom Pals comes in!

With Loom Pals, you can connect with someone you'd like to get to know better by recording a 2-5-minute video and chatting about your day, your life, and your current interests. Finish off by asking some questions about things you're curious about, so they have something to respond to.

It's like a modern version of pen pals, but instead of letters, you use Loom videos (see ‣). And the best part? You can send your video over Slack, so it's easy to stay connected even when you're busy.

Give it a try and see how it can change the way you connect with people! #LoomPals #Connection #VideoMessages","August 1, 2023 2:53 AM","September 6, 2023 1:55 PM"
Yes,Socialising in Remote Teams,Team Building,"Learn how to intentionally create opportunities for remote teams to socialize and build strong connections in this document. The guide provides tips for synchronous and asynchronous socializing, including the use of Slack channels and crew chats.","Are you struggling to stay connected with your remote colleagues? Socializing is key to building trust and strong teams, but it can be difficult to intentionally create opportunities for it in a remote environment. In this article, we explore how socializing is not only important but also has business value. We discuss the challenges of staying connected as a remote workforce and offer practical tips for building relationships with colleagues in different time zones. Learn how to use Slack to your advantage and create interest channels to connect with colleagues over shared passions. Don't miss out on the benefits of synchronous remote socializing. Read on for actionable advice to help you stay connected and build strong relationships with your remote colleagues. #remotework #teamwork #socializing

Check out the full article here: <insert-link-here>","August 1, 2023 2:35 AM","September 6, 2023 1:55 PM"
