Name,Link
Skribbl,https://skribbl.io/
Geoguessr,https://geoguessr.com/
Codenames,https://codenames.game
Taboo,https://playtaboo.com/playpage
http://Kahoot.com / Kahoot.it,https://kahoot.it/
Gartic Phone,https://garticphone.com/
Decryptr,https://www.decryptr.io/
Spyfall,https://www.spyfall.app/
Recounter,https://www.outofcontext.party/
Dixit,https://play-dixit.online/en/
Longwave,https://longwave.web.app
Interrogation,http://interrogation.ftwinston.com
Coup,https://www.chickenkoup.com
Gamestorming,https://gamestorming.com/
Toolbox Toolbox,https://toolboxtoolbox.com
